date,equity,pos,tsmx
2026-02-26,333755.8682448101,1,72.6634
2026-02-27,329197.5992449264,1,71.671
2026-03-02,319169.31558163936,1,69.4877
2026-03-03,292275.8040729542,1,63.6326
2026-03-04,299021.80334757053,1,65.1013
2026-03-05,292138.92739399767,1,63.6028
2026-03-06,276019.0486299302,0,58.2041
2026-03-09,276019.0486299302,0,61.7172
2026-03-10,276019.0486299302,0,60.9432
2026-03-11,276019.0486299302,0,63.5929
2026-03-12,276019.0486299302,0,57.2614
2026-03-13,276019.0486299302,0,57.6286
2026-03-16,276019.0486299302,0,58.2141
2026-03-17,276019.0486299302,0,60.5561
2026-03-18,276019.0486299302,0,58.3133
2026-03-19,276019.0486299302,0,57.8568
2026-03-20,276019.0486299302,0,54.7109
2026-03-23,276019.0486299302,0,57.6087
2026-03-24,276019.0486299302,0,59.253
2026-03-25,276019.0486299302,0,60.8075
2026-03-26,276019.0486299302,0,53.2539
2026-03-27,276019.0486299302,0,53.4632
2026-03-30,276019.0486299302,0,50.0152
2026-03-31,276019.0486299302,0,56.9211
2026-04-01,276019.0486299302,0,58.1967
2026-04-02,276019.0486299302,0,56.9909
2026-04-06,276019.0486299302,0,57.9974
2026-04-07,276019.0486299302,0,59.0437
2026-04-08,276019.0486299302,0,66.2186
2026-04-09,280073.41621596523,1,66.1389
2026-04-10,287036.40952676884,1,67.7832
2026-04-13,286150.10258767544,1,67.5739
2026-04-14,302016.8176860458,1,71.3208
2026-04-15,294927.2090982288,1,69.6466
2026-04-16,275009.6520603616,1,64.9431
2026-04-17,285559.37244910153,1,67.4344
2026-04-20,279187.10927687184,1,65.9296
2026-04-21,281339.5689860986,1,66.4379
2026-04-22,311806.84641270566,1,73.6327
2026-04-23,302987.3936556597,1,71.55
2026-04-24,335438.1692679874,1,79.2132
2026-04-27,339278.5503624153,1,80.1201
2026-04-28,317123.841122336,1,74.8883
2026-04-29,320120.2615241633,1,75.5959
2026-04-30,323073.9122170329,1,76.2934
2026-05-01,326154.6016493808,1,77.0209
2026-05-04,332484.51857511775,1,78.5157
2026-05-05,320204.5305546838,1,75.6158
2026-05-06,361052.9903089898,1,85.2621
2026-05-07,352402.07561298495,1,83.2192
